KEY	INTPTLAT10	INTPTLON10
188	41.8368159	-89.5049191
189	41.8278317	-89.4952564
190	41.8420227	-89.4912216
191	41.8584886	-89.4833673
192	41.8535569	-89.4755317
193	41.8416801	-89.4551326
194	41.8508175	-89.4829585
195	41.844824	-89.4765471
196	41.839707	-89.4836829
197	41.8442623	-89.2950805
198	41.8347474	-89.4923376
199	41.8282951	-89.4685197
200	41.8348331	-89.4824044
201	41.7316032	-89.3372532
202	41.7186652	-89.3321817
203	41.6985317	-88.9607419
204	41.7057369	-89.3358021
205	41.7153276	-89.1750017
206	41.687984	-89.0241153
207	41.6319247	-89.1983596
208	41.8612174	-89.4728986
209	40.1992695	-88.8289742
210	40.2045801	-89.038406
211	40.1247479	-89.0846018
212	40.2453151	-89.0909634
213	40.0975029	-88.8379859
214	40.0849775	-89.0330264
215	40.1610477	-88.9661899
216	40.1445757	-88.9604592
217	40.1533692	-88.9654919
218	40.2200903	-88.6969797
219	40.2462072	-88.8803493
220	40.2605626	-88.6142901
221	40.1451931	-88.9748342
222	40.1584036	-88.9450653
223	40.1419923	-88.9498533
224	40.3716612	-90.1116196
225	40.2227542	-90.4190757
226	40.3000964	-90.4077314
227	40.2689034	-90.3419813
228	40.2392946	-90.2110804
229	40.4765576	-89.978756
230	40.3969643	-90.2652357
231	40.4094244	-90.3960353
232	40.345667	-90.3160676
233	40.4304704	-90.1635689
234	40.4743233	-90.1702311
235	40.5211437	-90.1433433
236	40.5840413	-90.0320323
237	40.5288514	-90.0144663
238	40.5323131	-90.0569334
239	40.5541777	-90.0674792
240	40.4844633	-90.0540847
241	40.5862295	-89.9318805
242	40.5644516	-90.0344589
243	40.576552	-90.053657
244	40.561053	-90.0097658
245	40.547827	-90.0316652
246	40.5896038	-90.093923
247	40.5532656	-90.0318112
248	40.5614277	-90.0291351
249	40.5582605	-90.0232478
250	40.5535749	-90.0236448
251	40.572374	-90.303799
252	40.5103883	-90.3363718
253	40.506052	-90.2076455
254	40.6599791	-90.3562261
255	40.6737073	-90.1201753
256	40.3741193	-90.1555702
257	40.7051903	-89.9959151
258	40.6993206	-90.0168145
259	40.6887494	-89.9926761
260	40.4063996	-90.1595361
261	40.3968459	-90.1521424
262	40.653122	-90.4288964
263	40.6730733	-90.2467857
264	40.5564502	-90.0497199
265	40.5570882	-90.0365814
266	40.5752916	-90.023168
267	41.2566743	-90.6057317
268	41.1708411	-90.8808148
269	41.1072018	-90.8361644
270	41.2878558	-90.7184946
271	41.1245654	-90.6380656
272	41.2120864	-90.5623238
273	41.211487	-90.7182192
274	41.2067798	-90.5833098
275	41.0918088	-90.926771
276	41.1722792	-91.0098546
277	41.1128092	-90.4904546
278	41.1848254	-90.7281486
279	41.2137193	-90.7650503
280	41.1748707	-90.7763323
281	41.2950504	-90.5790552
282	41.3073009	-90.5039029
283	41.2958815	-90.4625381
284	41.1962208	-90.4756858
285	41.2567021	-90.9482547
286	40.4772532	-89.02072
287	40.4821024	-88.963831
288	40.4639771	-88.9952297
289	40.7092412	-88.8918902
290	40.3611999	-89.1482924
291	40.4696384	-88.9481328
292	40.6006761	-88.9973503
293	40.6466167	-88.641892
294	40.6210566	-88.7848117
295	40.4395097	-88.5107921
296	40.5247903	-88.9861136
297	40.5182576	-88.9913438
298	40.5061262	-89.0062927
299	40.5127958	-88.9955702
300	40.5272342	-88.9927544
301	40.5075813	-88.9915879
302	40.5062832	-88.9980422
303	40.5134753	-89.0064712
304	40.513403	-89.0200994
305	40.5061054	-88.9865822
306	40.4990313	-88.9895882
307	40.4554395	-88.7018439
308	40.5013567	-88.990987
309	40.4992849	-88.978456
310	40.5066042	-88.978273
311	40.507472	-88.9664489
312	40.3173183	-88.9619345
313	40.5134236	-88.9683042
314	40.5022107	-88.965593
315	40.4457575	-88.9430504
316	40.3132274	-88.9900302
317	40.5579104	-88.9857533
318	40.5211619	-88.9469642
319	40.5660123	-88.6128543
320	40.5295754	-89.019781
321	40.4895523	-89.0063641
322	40.498523	-88.9312445
323	40.4920941	-89.0147767
324	40.4924079	-88.9480381
325	40.5330315	-88.9635235
326	40.5098489	-88.8943546
327	40.4663417	-89.0222379
328	40.4997013	-88.9461145
329	40.4698839	-88.9323008
330	40.5209122	-88.9711703
331	40.4919279	-88.9344258
332	40.4952957	-88.8939735
333	40.5179559	-88.9802946
334	40.4918997	-88.981627
335	40.5373847	-88.8600762
336	40.4901096	-88.9904514
337	40.5241643	-89.0012536
338	37.3286274	-88.5996179
339	37.538345	-88.52161
340	37.1928403	-88.4926742
341	37.4407164	-88.6072677
342	41.3750163	-90.2497939
343	41.4885678	-89.9300396
344	41.4133309	-90.0046619
345	41.3629015	-90.0222961
346	41.3013038	-90.3058843
347	41.2976518	-90.2390826
348	41.2134748	-90.3484744
349	41.2104209	-90.1702069
350	41.3908891	-89.90483
351	41.5177728	-90.0711615
352	41.2628049	-90.0230639
353	41.3130852	-90.1813269
354	41.2824832	-90.172661
355	41.1804943	-90.3238011
356	41.4931937	-90.3472564
357	41.4833102	-90.342936
358	41.4733597	-90.3324753
359	41.4727081	-90.3675124
360	41.4708322	-90.3622611
361	41.3950826	-90.3487316
362	41.4063807	-90.4086443
363	41.4747021	-90.2791189
364	41.4276131	-90.1403993
365	41.1798199	-90.0706304
366	41.2362804	-89.9387005
367	41.1766804	-90.0124214
368	41.5104476	-90.1736143
369	41.4442588	-90.1775348
370	41.4724396	-90.1504608
